id,tool_call
Q-02298,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-00665,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-02304,"send_alert(module='jaguar',severity='high',reason='oxygen_leak')"
Q-00693,"send_alert(module='vicuna',severity='medium',reason='power_fluctuation')"
Q-00536,no_action
Q-01141,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-00541,"send_alert(module='quetzal',severity='medium',reason='radiation_spike')"
Q-01353,"schedule_maintenance(module='condor',task='hull_inspection',priority='routine')"
Q-00527,"get_telemetry(module='quetzal',metric='temperature',timeframe_hours=12)"
Q-02821,no_action
Q-00623,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00054,no_action
Q-00021,"get_crew_status(module='tucan',info='current_activity')"
Q-01728,"send_alert(module='tucan',severity='high',reason='structural_damage')"
Q-02230,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-02197,"get_telemetry(module='vicuna',metric='radiation',timeframe_hours=12)"
Q-00262,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-00776,"control_system(module='quetzal',system='cooling',action='activate')"
Q-02431,"control_system(module='jaguar',system='filtration',action='deactivate')"
Q-03195,"control_system(module='jaguar',system='cooling',action='increase')"
Q-03023,no_action
Q-00441,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-02899,no_action
